iter	dst	dct	klt_sep	klt_nsep	rdot_sep	rdot_nsep
481	34.95	36.23	34.87	34.49	34.3748	33.2835
482	34.95	36.23	34.87	34.49	34.3746	33.2833
483	34.95	36.23	34.87	34.49	34.3744	33.2830
484	34.95	36.23	34.87	34.49	34.3742	33.2828
485	34.95	36.23	34.87	34.49	34.3741	33.2826
486	34.95	36.23	34.87	34.49	34.3739	33.2824
487	34.95	36.23	34.87	34.49	34.3737	33.2822
488	34.95	36.23	34.87	34.49	34.3736	33.2820
489	34.95	36.23	34.87	34.49	34.3734	33.2818
490	34.95	36.23	34.87	34.49	34.3732	33.2816
491	34.95	36.23	34.87	34.49	34.3730	33.2814
